,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_2p,NBA_2pa,NBA_2pp,NBA_3p,NBA_3pa,NBA_3pp,NBA_ast,NBA_blk,NBA_drb,NBA_fg,NBA_fga,NBA_fgp,NBA_ft,NBA_fta,NBA_ftp,NBA_g,NBA_mp,NBA_orb,NBA_pts,NBA_stl,NBA_tov,NBA_trb,NCAA_2p,NCAA_2pa,NCAA_2pp,NCAA_3p,NCAA_3pa,NCAA_3pp,NCAA_ast,NCAA_blk,NCAA_drb,NCAA_fg,NCAA_fga,NCAA_fgp,NCAA_ft,NCAA_fta,NCAA_ftp,NCAA_g,NCAA_mp,NCAA_orb,NCAA_pts,NCAA_stl,NCAA_tov,NCAA_trb
0,/players/a/abdelal01.html,Alaa Abdelnaby,1991,1995,F-C,Duke,6-10,240,"June 24, 1968",2.5,5.1,.493,0.0,0.0,,0.4,0.2,2.5,2.5,5.1,.493,1.1,1.4,.752,71,13.2,1.1,6.1,0.4,0.9,3.7,3.3,5.6,.599,0.0,0.0,,0.4,0.5,,3.3,5.6,.599,1.8,2.5,.728,134,14.8,,8.5,0.4,1.0,3.7
1,/players/a/abdulza01.html,Zaid Abdul-Aziz,1969,1978,C-F,Iowa State,6-9,235,"April 7, 1946",,,,,,,,,,0.9,2.2,.419,,,,20,5.4,,1.9,,,,,,,,,,,,,7.8,16.8,.465,,,,75,,,22.3,,,
2,/players/a/abdulka01.html,Kareem Abdul-Jabbar,1970,1989,C,UCLA,7-2,225,"April 16, 1947",13.0,22.5,.577,,,,3.3,,,13.0,22.5,.577,5.7,8.3,.690,82,40.1,,<strong>31.7</strong>,,,16.0,,,,,,,,,,10.7,16.8,.639,,,,88,,,26.4,,,
3,/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,LSU,6-1,162,"March 9, 1969",4.0,9.3,.433,0.4,1.2,.330,2.4,0.0,1.1,4.4,10.4,.421,1.2,1.3,.870,81,19.0,0.3,10.3,0.5,1.4,1.4,7.7,14.7,.524,2.7,7.2,.372,3.6,0.1,,10.4,21.9,.474,5.5,6.4,.863,64,37.2,,29.0,1.7,3.6,3.0
4,/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,"Michigan, San Jose State",6-6,223,"November 3, 1974",3.5,7.9,.443,0.1,0.4,.286,1.0,0.3,2.3,3.6,8.3,.435,1.9,2.8,.691,49,24.6,1.5,9.3,1.0,1.4,3.8,6.5,12.8,.504,0.9,2.7,.324,1.8,0.8,,7.3,15.5,.473,5.1,6.9,.734,51,30.7,,20.6,1.3,3.0,7.6
5,/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,California,6-9,225,"December 11, 1976",7.7,15.8,.488,0.3,0.6,.412,2.6,0.9,4.3,8.0,16.4,.485,6.1,7.8,.784,<strong>82</strong>,36.0,2.8,22.3,1.1,3.1,7.1,7.1,13.5,.525,0.3,0.8,.381,1.0,1.3,,7.4,14.2,.518,6.1,8.9,.683,28,34.7,,21.1,1.9,3.1,8.4
6,/players/a/abernto01.html,Tom Abernethy,1977,1981,F,Indiana,6-7,220,"May 6, 1954",2.8,5.5,.498,,,,1.4,0.3,2.2,2.8,5.5,.498,1.2,1.5,.820,73,18.0,1.4,6.8,0.8,0.7,3.6,,,,,,,,,,2.4,4.5,.533,,,,110,18.5,,5.9,,,
7,/players/a/ablefo01.html,Forest Able,1957,1957,G,Western Kentucky,6-3,180,"July 27, 1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,15.5,.366,,,,86,,,14.2,,,
8,/players/a/abramjo01.html,John Abramovic,1947,1948,F,Salem International University,6-3,195,"February 9, 1919",,,,,,,,,,0.1,2.3,.048,,,,9,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
9,/players/a/abrinal01.html,Álex Abrines,2017,2019,G-F,,6-6,200,"August 1, 1993",0.4,0.9,.443,1.1,2.9,.380,0.4,0.1,1.2,1.5,3.9,.395,0.5,0.6,.848,75,15.1,0.3,4.7,0.5,0.3,1.5,,,,,,,,,,,,,,,,,,,,,,
10,/players/a/achiupr01.html,Precious Achiuwa,2021,2021,F,Memphis,6-8,225,"September 19, 1999",,,,,,,,,,,,,,,,,,,,,,,5.5,10.6,.514,0.4,1.3,.325,1.0,1.9,7.8,5.9,11.9,.493,3.6,6.0,.599,31,30.4,3.0,15.8,1.1,2.8,10.8
11,/players/a/ackeral01.html,Alex Acker,2006,2009,G,Pepperdine,6-5,185,"January 21, 1983",,,,,,,,,,,,,,,,,,,,,,,3.7,7.9,.476,1.4,3.3,.411,2.8,0.4,4.1,5.1,11.2,.457,2.9,3.5,.823,88,34.4,1.5,14.5,1.5,2.6,5.6
12,/players/a/ackerdo01.html,Don Ackerman,1954,1954,G,Long Island University,6-0,183,"September 4, 1930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,/players/a/acresma01.html,Mark Acres,1988,1993,F-C,Oral Roberts,6-11,220,"November 15, 1962",0.9,1.8,.478,0.0,0.0,1.000,0.3,0.1,1.4,0.9,1.8,.482,0.4,0.8,.542,62,10.2,1.0,2.2,0.3,0.4,2.4,,,,,,,,,,7.3,12.9,.564,4.0,5.7,.696,110,33.3,,18.5,,,
14,/players/a/actonbu01.html,Bud Acton,1968,1968,F,Hillsdale College,6-6,210,"January 11, 1942",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,/players/a/acyqu01.html,Quincy Acy,2013,2019,F-C,Baylor,6-7,240,"October 6, 1990",1.0,2.0,.492,0.1,0.2,.267,0.4,0.4,2.3,1.0,2.2,.468,0.6,0.8,.660,63,13.4,1.1,2.7,0.4,0.5,3.4,3.6,6.0,.604,0.0,0.1,.429,0.6,1.3,3.8,3.6,6.0,.602,2.5,3.6,.708,139,25.1,2.2,9.8,0.7,1.5,6.0
16,/players/a/adamsal01.html,Alvan Adams,1976,1988,C-F,Oklahoma,6-9,210,"July 19, 1954",7.3,15.3,.474,,,,4.5,1.2,6.6,7.3,15.3,.474,3.5,4.6,.754,72,31.6,2.5,18.0,1.3,,9.1,,,,,,,,,,9.7,18.0,.539,,,,73,,,23.4,,,
17,/players/a/adamsdo01.html,Don Adams,1971,1977,F,Northwestern,6-6,210,"November 27, 1947",4.3,10.9,.392,,,,1.9,,,4.3,10.9,.392,2.8,3.8,.745,73,28.4,,11.4,,,6.9,,,,,,,,,,5.8,13.8,.421,,,,71,,,15.0,,,
18,/players/a/adamsge01.html,George Adams,1973,1975,F-G,Gardner-Webb University,6-5,210,"May 15, 1949",3.2,6.2,.505,0.0,0.1,.143,1.6,0.3,2.7,3.2,6.3,.500,1.0,1.3,.757,80,17.9,1.6,7.3,0.6,1.5,4.3,,,,,,,,,,,,,,,,,,,,,,
19,/players/a/adamsha01.html,Hassan Adams,2007,2009,G,Arizona,6-4,220,"June 20, 1984",,,,,,,,,,,,,,,,,,,,,,,5.2,9.7,.535,0.6,1.9,.311,2.0,0.7,3.0,5.8,11.6,.499,1.9,2.7,.704,130,27.8,2.5,14.0,1.8,2.0,5.4
20,/players/a/adamsja01.html,Jaylen Adams,2019,2021,G,St. Bonaventure,6-0,225,"May 4, 1996",0.1,0.9,.167,0.0,0.3,.000,0.3,0.0,0.4,0.1,1.1,.125,0.0,0.0,,7,2.6,0.0,0.3,0.0,0.0,0.4,2.4,5.1,.467,2.5,6.2,.394,5.4,0.2,2.8,4.8,11.3,.427,5.3,6.3,.838,110,36.3,0.5,17.4,1.5,2.9,3.4
21,/players/a/adamsjo01.html,Jordan Adams,2015,2016,G,UCLA,6-5,209,"July 8, 1994",1.0,2.5,.400,0.0,0.5,.000,1.5,0.0,1.0,1.0,3.0,.333,1.5,2.5,.600,2,7.5,0.0,3.5,1.5,1.0,1.0,4.0,7.3,.548,1.4,4.3,.331,2.1,0.2,3.3,5.4,11.6,.467,4.2,5.0,.839,69,30.2,1.3,16.4,2.4,1.4,4.6
